"Issue Type","Summary","Description","Epic Name","Epic Link","Labels","Priority"
"Epic","Identity and Membership Foundation","Establish the MedInsights identity model using one platform user linked to many tenant memberships, with OTP-first authentication and invite-driven tenant onboarding.","Identity and Membership Foundation","","registration-billing,identity,multi-tenant","High"
"Epic","Billing Provider Abstraction","Introduce a payment provider abstraction so MedInsights can support Stripe first and add PayPal later without coupling billing flows to one provider.","Billing Provider Abstraction","","registration-billing,billing,payments","High"
"Epic","Subscription and Seat Management","Implement tenant-owned subscriptions, seat entitlements, seat reassignment, renewals, and proration rules for single-user and enterprise tenants.","Subscription and Seat Management","","registration-billing,subscriptions,seats","High"
"Epic","Credits and Usage Ledger","Implement included monthly credits, purchased carryover credits, auto top-up, soft-cap alerts, and auditable credit consumption ledgers.","Credits and Usage Ledger","","registration-billing,credits,usage","High"
"Epic","Webhooks and Background Processing","Implement webhook ingestion, event normalization, idempotent processing, and background workers for billing and credit workflows.","Webhooks and Background Processing","","registration-billing,webhooks,servicebus","High"
"Epic","Admin APIs and Billing Operations","Provide tenant admin and billing admin APIs for invites, seat assignment, billing settings, ledgers, and account management.","Admin APIs and Billing Operations","","registration-billing,admin,api","Medium"
"Epic","Compliance and Audit Readiness","Add audit trails, operational controls, and documentation needed to keep the billing and identity model HIPAA-safe and SOC 2 ready.","Compliance and Audit Readiness","","registration-billing,compliance,audit","High"
"Story","Audit current AuthUsers and UserProfile boundaries","Review MedPACTech.Identity AuthUsers, current UserProfile usage, and auth lifecycle hooks to define what remains auth-owned versus app-owned identity data.","","Identity and Membership Foundation","identity,analysis","High"
"Story","Design PlatformUser and TenantMembership entities","Create the domain model for PlatformUser, TenantMembership, invite state, and tenant role assignments aligned with current Azure Tables patterns.","","Identity and Membership Foundation","identity,domain-model,azure-tables","High"
"Task","Add PlatformUser Azure Table entity and mapping","Implement the PlatformUser entity, repository, and Azure Table mapping using a user-scoped partitioning strategy.","","Identity and Membership Foundation","identity,azure-tables,backend","High"
"Task","Add TenantMembership Azure Table entity and mapping","Implement TenantMembership storage for tenant role, membership status, seat status, invited contact, and lifecycle timestamps.","","Identity and Membership Foundation","identity,membership,azure-tables","High"
"Task","Add Invite Azure Table entity and mapping","Implement invite persistence with reserved seat tracking, invited email or phone, expiration, and redemption status.","","Identity and Membership Foundation","identity,invites,azure-tables","Medium"
"Story","Implement tenant invite and redemption workflow","Create service logic for invite creation, resend, cancel, redemption, and pending-contact edits before verification.","","Identity and Membership Foundation","identity,invites,workflow","High"
"Story","Implement controlled seat reassignment workflow","Allow admins to remove or deactivate a membership and issue a new invite instead of directly overwriting a verified user's login contact.","","Identity and Membership Foundation","identity,security,membership","High"
"Story","Implement verified contact change flow for users","Allow users to change their own email or phone through verify-new-contact flows without breaking tenant membership or auditability.","","Identity and Membership Foundation","identity,security,otp","Medium"
"Story","Create payment provider abstraction interfaces","Define internal provider contracts for checkout, portal, subscription updates, top-up purchases, cancellations, reactivations, and webhook parsing.","","Billing Provider Abstraction","billing,payment-provider,architecture","High"
